Featur_1,Featur_2,Featur_3,Featur_4,Featur_5,Featur_6,Featur_7,Featur_8,Featur_9,Featur_10,Featur_11,Featur_12,Featur_13,Featur_14,Featur_15,Featur_16,Featur_17,Featur_18,Featur_19,Featur_20,Featur_21,Featur_22,Featur_23,Featur_24,24,Target
-4.213170355,-2.744119856,0.188517766,-2.746633825,-2.13092061,3.957009702,-4.879964527,-6.81958552,-0.577259262,0.160943096,-2.408471765,-1.579187438,0.714311278,0.434053169,3.6140831,2.466401733,-0.176325768,-1.623139321,-1.503584351,0.685678637,-4.850611736,11.36480313,-2.145618246,-4.21777377,3.514112156,0
0.592177889,5.321085127,-3.604322072,-2.513453713,4.4740596,-2.628278362,-4.044509761,1.577459302,0.937598949,-1.036957988,0.047844896,6.670915844,2.238248696,-0.388741549,-0.929706548,5.558876179,3.798463291,6.61881121,-3.216091545,8.756966489,-20.91227732,3.776211318,0.316094181,4.61787947,0.879792162,0
-0.42030182,-5.727718791,0.098669399,1.753746035,0.809983766,7.182335468,-1.353669401,-5.902126617,4.10950325,0.392717324,1.333851494,-2.533590525,-0.02784519,4.328689075,2.930607593,2.564074949,0.584610018,-1.790268471,0.762539107,-0.441760121,-2.531465285,-0.0824909,-3.346652667,-1.153036813,-1.306714574,0
-4.120132894,2.424011007,-4.834792027,-1.426743723,2.135731125,1.451525893,-3.435942865,1.758757666,0.035493174,-0.950379403,1.553745898,3.372027699,0.369605369,4.859922603,1.926620663,-1.051966227,-5.265884834,1.124751593,-3.619646308,0.349428271,1.794305251,2.953939107,-3.611213971,6.721697788,0.63642122,1
0.484664656,-3.056881037,0.329461085,-0.598967171,-2.24725131,0.444007434,2.720293415,-0.531497438,-3.842147832,-0.929348278,-0.401842272,-1.092329414,0.886494906,0.53799461,1.121814342,-3.339682064,3.5379073,-1.196608296,4.32818299,4.003685858,-5.348574474,5.907073137,-0.403841851,-5.269746764,-1.908792908,1
-4.342073144,4.428896674,-1.976794706,-4.868674325,-5.401932976,-2.260345301,3.327956683,-1.89546633,-13.17686634,-1.867632354,-9.086394154,0.486705273,-0.442121254,4.66424284,-4.611622692,3.484740465,2.806893566,4.119925608,-0.593676918,-4.831827853,9.851011179,10.69078499,-4.508872658,-17.34089296,-2.333093056,1
1.179113268,1.204174783,-5.891126701,-2.03097233,0.79191441,0.803936192,-1.543144625,-1.463514654,6.892411281,-0.025969219,2.609390866,1.403185367,0.414695552,-0.538207231,-5.205498802,2.635953495,1.25789474,1.301702591,-1.4959448,2.304693076,-13.1976903,-3.248341165,-0.275460517,5.807552199,1.37478596,0
-0.71568152,-1.166709672,-2.025338192,1.093167065,-0.755291138,-2.308245885,3.667586428,1.754633413,9.780493617,2.388184521,7.427867634,-3.234579346,-4.677378855,-0.018001301,-1.600747079,-2.031842546,-1.005605549,1.432233604,1.60463382,-0.420618607,-0.901731931,-9.889128448,1.728307472,10.3562481,3.511438901,0
2.754391126,-0.202303065,-0.201077709,0.090692345,-3.361957727,1.485407947,0.885771702,3.805842652,6.726915151,1.168262965,-1.390976538,-0.917518238,-1.351683868,-0.682345376,1.385732968,-0.331345143,3.656666576,0.002720604,-0.15078092,2.068204446,-0.452097579,1.340140203,3.656898617,-0.530944802,-3.571220898,1
-2.598365222,1.940340677,-2.718787312,4.586979628,-0.431169778,5.023461649,2.719388423,0.604751016,-4.593053001,0.639272705,-1.836613891,1.026889328,0.14671162,3.56340733,5.639849765,-1.750570195,-2.002082485,0.973625053,1.797809704,3.946490831,4.398604477,-0.435305066,0.338655789,-0.407464652,-0.706337473,1
-3.063529883,3.742103953,0.522691344,-3.443052159,2.121538386,4.294838209,2.492257074,1.896872747,-2.753289852,-1.322808679,3.265495909,3.161309191,0.396983974,0.753995744,-2.136373595,-2.579351854,-5.371780519,-1.436870517,2.82161032,-3.579263644,3.258334086,-0.397679924,-3.454290923,1.379858869,6.157380766,0
-1.265920098,-0.058814756,4.957163761,-0.547898557,0.489342181,-5.360222848,4.432478382,-0.903541386,-9.880540192,-0.116277565,-0.833776151,0.660512517,1.30321278,4.385110309,2.29819231,3.910021298,-0.075499159,1.786140053,0.987809644,-5.745472367,9.257999556,4.504275182,-3.657174626,-10.97380187,-2.101831821,1
-2.84685219,3.014239203,-4.275873289,2.269078223,4.474272094,-0.807120276,2.606053554,4.506662911,9.085486088,2.416832474,4.078142407,-2.832907559,-4.956282115,0.083911433,-5.272922914,6.709821755,-2.618230397,3.830108728,0.063938693,1.442717803,-4.302537922,-19.69765566,1.429214099,14.898717,3.551775802,0
1.247893033,3.086101044,-2.596797353,-2.68498987,-0.091694642,1.629751266,0.790256276,-2.679400531,-12.10969305,3.290080256,-6.757021909,-0.736598187,2.860871491,-1.058458475,-3.031037685,1.481395446,-1.540631856,-2.199029203,3.552938315,4.75308141,-7.146341434,7.212808727,-2.951225,-3.095960818,-1.29183308,0
-2.934813917,-0.561163117,-0.230656841,-1.439529828,-0.826077027,2.320632783,3.301995909,-8.244784176,-3.621914789,5.824044137,-1.814840245,-1.436869429,3.390471145,0.511178625,-0.227186009,5.682675453,-0.202738504,2.54276629,3.221594786,-0.662947016,1.427213364,5.825301464,-6.51383629,-8.954190523,-2.347370636,0
1.692655917,-1.851160893,0.699621029,1.810024003,3.244620219,-0.015595044,2.689080262,-4.938999131,-15.01970957,5.858846353,-2.59825708,-1.607088106,2.034095483,3.60472898,-1.32528149,-3.111845973,-4.940197837,-4.600337319,4.909416446,0.845633333,-0.192409123,2.426674452,-6.851896004,3.098519408,1.237709299,1
-2.486805546,4.167172833,0.571847616,0.107956905,2.400454193,-0.35208041,5.604406479,9.270611983,1.286399868,0.047954184,1.36460672,2.666846203,-1.167555135,-0.590555522,-2.139992893,-3.133262225,0.934264927,0.510913637,1.461845721,-3.168670704,12.41224076,-4.111752074,-3.49522514,0.287659254,0.435218604,0
-2.238936254,-1.469994478,-4.163936911,-6.372873638,0.306250732,-6.089720859,0.094655612,-0.117311029,4.520545016,-1.712731311,2.444750759,3.38394059,0.180458701,-5.484799708,-4.565280923,-0.563765199,1.459763606,3.623140863,-0.24542488,-1.282964327,-7.673541394,5.83475354,-5.040080739,-4.882445084,1.35508667,0
-0.14184696,0.092425196,-1.41765167,-0.60034562,-0.982038121,5.400583113,-0.259471216,-2.054170562,-14.39984709,-4.469406943,-3.551932916,-0.391234105,-2.224423774,1.964747656,1.031121631,1.155876804,-3.875506354,-2.28679391,3.250718818,4.437332143,0.373424741,2.99120509,-2.248148414,-1.852285483,-5.488713651,0
-2.525711385,0.216128228,3.618254187,-3.220624429,-3.344521329,-1.442433402,0.629379168,-0.799546841,-2.293766746,0.649118861,1.328521419,-5.633727939,2.80811454,-1.883815628,-1.915667808,-1.676441384,0.356333407,-1.598781192,0.459091264,0.218542702,7.964343578,2.129864142,-2.600507506,-1.582409477,-0.567466432,1
0.99949767,-3.032406137,3.003234718,1.812437329,-1.70690942,5.495181142,2.911494413,-0.771771963,4.667713632,0.565780847,0.984320257,1.003587215,-1.804900151,1.692728359,0.453091118,-0.70141574,7.810516998,3.726192727,2.71888052,4.429557871,-1.996971029,0.256108665,-1.057949076,-1.810329791,-3.292656845,1
-3.010013972,1.547114836,-3.017743567,1.072374837,0.960516325,4.112743257,-1.733596377,-0.670874744,1.290250513,0.565509798,-0.695623212,-3.234636421,-2.287591119,1.164074337,3.338549194,-1.814394551,-1.284171257,0.890205683,1.029464194,0.33431803,6.470002129,0.815807194,-1.858449385,-0.371623603,-2.148424852,1
-2.044788404,-0.739782716,0.492294938,2.334227516,-0.108338265,-0.513270005,2.19254879,-0.585706019,-5.101903393,-1.072877332,-0.540044659,0.218778373,2.125088035,-1.650831495,-0.138591218,-1.016928311,-1.77551891,-1.016754583,0.596727974,-0.903336496,9.414481943,-3.346829679,-1.147906346,-3.077703114,-2.645814252,1
0.084937037,-1.607974176,2.359351584,-3.413305804,-0.230744931,3.44968423,-0.624715485,2.190779119,6.331503833,1.084600797,1.361992941,4.803744625,0.602599365,-3.372187209,1.824633168,-7.276364835,-3.267078506,-4.298190578,2.281060145,-4.372863037,-0.07978207,7.545635509,3.765749525,-0.77667325,4.237399326,0
1.800483368,-0.08002166,-1.488757912,2.326110336,-2.002374712,7.292034414,0.686601297,-0.023410302,0.319720105,7.284392219,-3.230071213,1.80051115,2.248318635,2.016430859,4.062544118,1.207939909,-3.312574556,-2.241051932,3.190070976,0.768019945,-0.737847409,8.215740867,-2.874607904,0.740025291,0.103746856,1
-0.282133671,-0.921810186,0.519142502,-2.531140495,0.053011814,1.633521763,-0.462370297,1.684009443,2.133689386,-0.936434871,1.544452239,-2.418970916,-1.606786048,-0.937436572,-1.614468577,0.976648539,-3.04447739,-1.138970832,-1.085815086,0.508218256,4.386598192,-4.186495632,-2.558649379,4.708730503,-2.734742521,1
1.591309283,-0.228094579,-0.266050689,-1.828404891,4.880478708,1.116331669,-2.453492066,3.984248198,7.873502248,1.750162637,2.280477725,5.897136851,-2.218491649,-0.971937242,-2.668583079,4.767440034,-0.306886328,-1.086984886,0.177610835,0.042420297,-14.31925887,-0.28679078,1.834779876,10.33858398,2.240825778,0
-1.373515871,1.668513714,-0.459769984,-0.78202989,-3.521390288,-0.696840126,3.182126846,-2.073117053,-1.359526048,1.412149254,1.406188397,-2.895828228,0.824722773,-1.398327012,-0.743822875,-0.468091942,-1.978243232,-0.228081773,2.442624817,-3.486705459,6.871700986,0.227564341,-0.281252028,-4.538197438,0.897816979,0
-0.314358564,-0.316834594,-2.036513517,0.158046049,3.370695598,0.180598517,-4.863703652,-0.701326027,2.55531923,2.100979722,0.468924222,6.014497077,-4.159287243,2.192399878,-4.508749899,4.815039324,1.599446304,5.972745023,-2.571080083,6.679868423,-14.6824582,-0.936790835,-1.389002781,15.73221644,0.091544169,0
-1.244399524,-0.637983057,0.452641099,-2.439492521,4.234108694,1.850046396,2.284432869,1.255436278,8.779615846,2.196143385,3.355158367,-1.070305583,1.054081992,-2.005661764,-3.728201502,-0.707918065,-4.191403651,-0.610513473,1.325294977,-3.287665908,0.642964787,-9.85896653,-0.227533415,3.586539491,2.820251874,0
-1.179721234,3.212032425,0.119173985,-2.431428443,-2.760961523,-2.186355637,4.039739462,2.86810227,9.111011278,3.949996675,-2.541247471,-3.220891076,1.557529892,-2.518778834,-1.120125754,-4.367570374,4.544872609,-1.4175283,-4.543275646,-1.004722151,10.62170238,-2.41979743,5.087459483,-2.92196937,-0.746824254,0
1.413617205,-0.02228444,5.522369204,-0.441210143,0.174062299,0.929674389,-0.511191599,1.877865983,2.168253354,0.585627988,0.773780815,0.445796872,0.053108337,-2.232267683,1.982912094,0.431179697,-0.939412241,-0.024760051,0.848618032,-2.728824374,3.516346082,1.118421179,0.420644254,-1.513863763,1.913576087,1
-0.023952618,3.123968239,0.071464522,-1.724582214,3.413005425,2.684553651,0.444641433,3.856650944,-1.962457257,-2.754741705,-1.737217065,5.611129555,-0.440621891,0.848268792,4.961112576,0.746380749,0.916729778,-0.340840061,0.114536792,-0.437056129,-3.142981008,7.328615166,-1.14674404,-6.411552434,1.548443323,0
6.858289363,1.051104809,-1.55775108,3.172767592,3.771782073,-4.76644856,0.760346383,-1.130025623,1.883829507,1.861215769,3.339090245,3.667103447,-1.787097281,-1.020844963,0.789086939,-5.587604496,-0.28559837,4.480860301,1.360725788,-0.816030713,-2.456187606,-4.131340483,2.139665225,2.584931349,-2.082003789,1
0.158149714,0.646118341,-0.819155086,-2.240621372,0.112920078,-2.943127813,1.360335498,0.308203272,-2.490474182,-1.655948865,-0.726648576,-6.358036188,-0.853535717,-2.158681831,0.112377443,-2.865666896,-0.412940691,1.208369417,4.733745743,-1.472655241,-0.169169277,0.488153764,-0.689714745,-9.085404649,0.82780508,1
-3.320496673,-5.744568727,-2.871002628,3.161924377,-0.727831335,4.482486115,-0.275436606,3.76067405,19.79575894,0.905330367,5.180450088,-3.369454495,-1.349585134,-2.381839711,-1.627388831,-1.79041579,-0.976954712,-0.036689844,-4.054715595,2.739794963,9.497480913,-16.91267447,1.293573929,13.53477058,-5.751547262,1
4.986935191,-2.413957897,3.007894138,-1.331820821,-3.240231301,-2.299149265,0.969261743,-1.929810658,-0.381649339,2.114886592,-2.878215654,2.681386301,-1.728188178,2.344390598,-0.658495537,0.210939099,2.750575121,-2.136137132,-2.656968806,-5.258690124,2.258473477,6.754482536,1.122596825,-3.764039199,-1.290632941,1
-4.206516565,-1.880947022,-10.52443631,-3.335584047,-1.243252921,2.399390566,-3.605037616,3.811556206,10.22789816,0.978718784,2.352095633,2.017330306,2.055450435,5.461447066,-0.767026236,-4.23789564,-3.300483668,-3.400635775,-3.758281442,0.064263188,-2.558157907,6.784728441,-3.376925101,8.814232259,-1.896965974,1
